"","Group","Description","District","Date","Year","Month","Day.of.Week","Hour","Street"
"6221","Auto Theft","AUTO THEFT","E18","2016-12-29",2016,12,"Thursday",16,"RAMSDELL AVE"
"6222","Investigate Person","INVESTIGATE PERSON","B3","2016-12-29",2016,12,"Thursday",15,"EDGEWATER DR"
"6223","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","D14","2016-12-29",2016,12,"Thursday",16,"FARRINGTON AVE"
"6224","Larceny","LARCENY ALL OTHERS","D4","2016-12-29",2016,12,"Thursday",15,"DARTMOUTH ST"
"6225","Other","THREATS TO DO BODILY HARM","D4","2016-12-28",2016,12,"Wednesday",22,"HUNTINGTON AVE"
"6226","Missing Person Reported","MISSING PERSON","B2","2016-12-29",2016,12,"Thursday",15,"IROQUOIS ST"
"6227","Missing Person Located","MISSING PERSON - LOCATED","B2","2016-12-29",2016,12,"Thursday",15,"IROQUOIS ST"
"6228","Property Found","PROPERTY - FOUND","B3","2016-12-29",2016,12,"Thursday",13,"BLUE HILL AVE"
"6229","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","D4","2016-12-29",2016,12,"Thursday",15,"MASSACHUSETTS AVE"
"6230","Counterfeiting","FORGERY / COUNTERFEITING","E13","2016-12-29",2016,12,"Thursday",15,"CENTRE ST"
"6231","Investigate Person","INVESTIGATE PERSON","B3","2016-12-29",2016,12,"Thursday",14,"WEST ST"
"6232","Verbal Disputes","VERBAL DISPUTE","C11","2016-12-29",2016,12,"Thursday",14,"DORCHESTER AVE"
"6233","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B3","2016-12-29",2016,12,"Thursday",15,"BLUE HILL AVE"
"6234","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B2","2016-12-29",2016,12,"Thursday",14,"MARCELLA ST"
"6235","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11","2016-12-29",2016,12,"Thursday",14,"PARK ST"
"6236","Other","THREATS TO DO BODILY HARM","A1","2016-12-29",2016,12,"Thursday",13,"CHARLES ST"
"6237","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","C11","2016-12-29",2016,12,"Thursday",14,"BELLEVUE ST"
"6238","Verbal Disputes","VERBAL DISPUTE","C11","2016-12-29",2016,12,"Thursday",14,"HAMILTON ST"
"6239","Simple Assault","ASSAULT SIMPLE - BATTERY","C6","2016-12-29",2016,12,"Thursday",14,"MELCHER ST"
"6240","Property Lost","PROPERTY - MISSING","B3","2016-12-29",2016,12,"Thursday",14,"HAZLETON ST"
"6241","Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","A1","2016-12-23",2016,12,"Friday",17,"CHAMPNEY PL"
"6242","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A1","2016-12-29",2016,12,"Thursday",14,"STUART ST"
"6243","Verbal Disputes","VERBAL DISPUTE","B2","2016-12-29",2016,12,"Thursday",14,"CATAWBA ST"
"6244","Investigate Person","INVESTIGATE PERSON","B3","2016-12-29",2016,12,"Thursday",14,"BLUE HILL AVE"
"6245","Investigate Person","INVESTIGATE PERSON","C11","2016-12-29",2016,12,"Thursday",13,"BARRY ST"
"6246","Investigate Person","INVESTIGATE PERSON","B2","2016-12-20",2016,12,"Tuesday",17,"NAZING ST"
"6247","Fraud","FRAUD - FALSE PRETENSE / SCHEME","C6","2016-11-02",2016,11,"Wednesday",14,"ORTON-MAROTTA WAY"
"6248","Larceny","LARCENY SHOPLIFTING","D4","2016-12-28",2016,12,"Wednesday",19,"HUNTINGTON AVE"
"6249","Counterfeiting","FORGERY / COUNTERFEITING","C11","2016-12-28",2016,12,"Wednesday",17,"FREEPORT ST"
"6250","Investigate Property","INVESTIGATE PROPERTY","B3","2016-12-29",2016,12,"Thursday",13,"FAVRE ST"
"6251","Simple Assault","ASSAULT SIMPLE - BATTERY","C11","2016-12-29",2016,12,"Thursday",11,"DORCHESTER AVE"
"6252","Larceny","LARCENY SHOPLIFTING","C11","2016-12-29",2016,12,"Thursday",14,"FREEPORT ST"
"6253","Simple Assault","ASSAULT - SIMPLE","C11","2016-12-29",2016,12,"Thursday",14,"FREEPORT ST"
"6254","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2016-12-29",2016,12,"Thursday",13,"HUNTINGTON AVE"
"6255","Evading Fare","EVADING FARE","B2","2016-12-29",2016,12,"Thursday",13,"DUDLEY ST"
"6256","Fraud","FRAUD - FALSE PRETENSE / SCHEME","E18","2016-12-23",2016,12,"Friday",14,"WEBSTER ST"
"6257","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","D14","2016-12-28",2016,12,"Wednesday",8,"COMMONWEALTH AVE"
"6258","Towed","TOWED MOTOR VEHICLE","A7","2016-12-29",2016,12,"Thursday",13,"CENTRAL SQ"
"6259","Investigate Property","INVESTIGATE PROPERTY","B2","2016-12-26",2016,12,"Monday",2,"DUNMORE ST"
"6260","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B2","2016-12-29",2016,12,"Thursday",14,"BILODEAU RD"
"6261","Investigate Person","INVESTIGATE PERSON","D14","2016-12-29",2016,12,"Thursday",13,"WASHINGTON ST"
"6262","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","D14","2016-12-29",2016,12,"Thursday",13,"WASHINGTON ST"
"6263","Simple Assault","ASSAULT SIMPLE - BATTERY","B3","2016-12-29",2016,12,"Thursday",13,"MILLET ST"
"6264","Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","E18","2016-12-29",2016,12,"Thursday",13,"ROSEWOOD ST"
"6265","Investigate Person","INVESTIGATE PERSON","B2","2016-08-30",2016,8,"Tuesday",17,"FRANKLIN PARK RD"
"6266","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","A1","2016-08-18",2016,8,"Thursday",13,"COMMERCIAL ST"
"6267","Towed","TOWED MOTOR VEHICLE","D4","2016-12-29",2016,12,"Thursday",11,"ABERDEEN ST"
"6268","Larceny","LARCENY SHOPLIFTING","C11","2016-12-29",2016,12,"Thursday",13,"WASHINGTON ST"
"6269","Robbery","ROBBERY - BANK","D4","2016-12-29",2016,12,"Thursday",13,"HUNTINGTON AVE"
"6270","Investigate Property","INVESTIGATE PROPERTY","E5","2016-12-28",2016,12,"Wednesday",22,"VFW PKWY"
"6271","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C11","2016-12-29",2016,12,"Thursday",1,"HANCOCK ST"
"6272","Firearm Discovery","FIREARM/WEAPON - FOUND OR CONFISCATED","C11","2016-12-29",2016,12,"Thursday",13,"SCHROEDER PLZ"
"6273","Investigate Person","INVESTIGATE PERSON","A1","2016-12-29",2016,12,"Thursday",12,"HANOVER ST"
"6274","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C6","2016-12-29",2016,12,"Thursday",13,"W BROADWAY"
"6275","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","A1","2016-10-18",2016,10,"Tuesday",13,"E INDIA ROW"
"6276","Larceny","LARCENY THEFT FROM BUILDING","D14","2016-12-29",2016,12,"Thursday",12,"FANEUIL ST"
"6277","Drug Violation","DRUGS - POSS CLASS D","D14","2016-12-29",2016,12,"Thursday",12,"FANEUIL ST"
"6278","Property Lost","PROPERTY - LOST","E18","2016-12-13",2016,12,"Tuesday",8,"ANNAFRAN ST"
"6279","Harassment","HARASSMENT","C11","2016-12-28",2016,12,"Wednesday",12,"GENEVA AVE"
"6280","Drug Violation","DRUGS - OTHER","D14","2016-12-29",2016,12,"Thursday",13,"WASHINGTON ST"
"6281","Verbal Disputes","VERBAL DISPUTE","B2","2016-12-29",2016,12,"Thursday",12,"SEAVER ST"
"6282","Simple Assault","ASSAULT SIMPLE - BATTERY","B3","2016-12-29",2016,12,"Thursday",12,"BLUE HILL AVE"
"6283","Other","INTIMIDATING WITNESS","B3","2016-12-29",2016,12,"Thursday",12,"BLUE HILL AVE"
"6284","Warrant Arrests","WARRANT ARREST","B3","2016-12-29",2016,12,"Thursday",12,"BLUE HILL AVE"
"6285","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","E13","2016-12-23",2016,12,"Friday",9,"ROBINWOOD AVE"
"6286","Investigate Person","INVESTIGATE PERSON","D4","2016-12-29",2016,12,"Thursday",11,"CASTLE CT"
"6287","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B3","2016-12-29",2016,12,"Thursday",11,"AMERICAN LEGION HWY"
"6288","Fraud","FRAUD - WIRE","E5","2016-02-17",2016,2,"Wednesday",12,"WASHINGTON ST"
"6289","Police Service Incidents","SERVICE TO OTHER PD OUTSIDE OF MA.","E5","2016-02-17",2016,2,"Wednesday",12,"WASHINGTON ST"
"6290","Offenses Against Child / Family","CHILD ENDANGERMENT","A1","2016-12-29",2016,12,"Thursday",11,"LINCOLN ST"
"6291","Fraud","FRAUD - FALSE PRETENSE / SCHEME","E13","2016-09-15",2016,9,"Thursday",19,"CENTRE ST"
"6292","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C6","2016-12-29",2016,12,"Thursday",12,"SUMMER ST"
"6293","Harassment","HARASSMENT","B3","2016-12-29",2016,12,"Thursday",11,"JACOB ST"
"6294","Other","TRESPASSING","B2","2016-12-29",2016,12,"Thursday",12,"WASHINGTON ST"
"6295","Other","TRESPASSING","B2","2016-12-29",2016,12,"Thursday",12,"DEARBORN ST"
"6296","Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2","2016-12-29",2016,12,"Thursday",12,"DEARBORN ST"
"6297","Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2","2016-12-29",2016,12,"Thursday",12,"WASHINGTON ST"
"6298","Other","TRESPASSING","B2","2016-12-29",2016,12,"Thursday",12,"DEARBORN ST"
"6299","Warrant Arrests","WARRANT ARREST","B2","2016-12-29",2016,12,"Thursday",12,"DEARBORN ST"
"6300","Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","B2","2016-12-29",2016,12,"Thursday",11,"WOODBINE ST"
"6301","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","B2","2016-12-29",2016,12,"Thursday",11,"WOODBINE ST"
"6302","Simple Assault","ASSAULT SIMPLE - BATTERY","B3","2016-12-29",2016,12,"Thursday",11,"NORWELL ST"
"6303","Vandalism","VANDALISM","B3","2016-12-28",2016,12,"Wednesday",22,"BICKNELL ST"
"6304","Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","C6","2016-12-29",2016,12,"Thursday",10,"COLUMBIA RD"
"6305","Property Found","PROPERTY - FOUND","D4","2016-12-29",2016,12,"Thursday",11,"SAINT BOTOLPH ST"
"6306","Investigate Person","INVESTIGATE PERSON","A1","2016-12-29",2016,12,"Thursday",10,"HARRISON AVE"
"6307","Investigate Person","INVESTIGATE PERSON","C11","2016-12-29",2016,12,"Thursday",10,"CHARLES ST"
"6308","Larceny","LARCENY SHOPLIFTING","D4","2016-12-29",2016,12,"Thursday",11,"BOYLSTON ST"
"6309","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B3","2016-12-29",2016,12,"Thursday",11,"CORBET ST"
"6310","Other","THREATS TO DO BODILY HARM","E5","2016-12-27",2016,12,"Tuesday",19,"VFW PKWY"
"6311","Commercial Burglary","BURGLARY - COMMERICAL - NO FORCE","A1","2016-12-28",2016,12,"Wednesday",23,"SCHOOL ST"
"6312","Vandalism","VANDALISM","B2","2016-12-28",2016,12,"Wednesday",17,"JULIAN ST"
"6313","Larceny","LARCENY ALL OTHERS","D4","2016-12-29",2016,12,"Thursday",10,"COMMONWEALTH AVE"
"6314","Property Lost","PROPERTY - LOST","D4","2016-12-28",2016,12,"Wednesday",18,"BOYLSTON ST"
"6315","Simple Assault","ASSAULT SIMPLE - BATTERY","D4","2016-12-29",2016,12,"Thursday",10,"ALBANY ST"
"6316","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C6","2016-12-29",2016,12,"Thursday",9,"SOUTHAMPTON ST"
"6317","Simple Assault","ASSAULT SIMPLE - BATTERY","E5","2016-12-29",2016,12,"Thursday",10,"FIRTH RD"
"6318","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","E13","2016-12-28",2016,12,"Wednesday",21,"CREIGHTON ST"
"6319","Investigate Person","INVESTIGATE PERSON","E5","2016-11-30",2016,11,"Wednesday",0,"TYNDALE ST"
"6320","Other","VAL - VIOLATION OF AUTO LAW - OTHER","E18","2016-12-29",2016,12,"Thursday",9,"WESTINGHOUSE PLZ"
"6321","Vandalism","VANDALISM","B2","2016-12-26",2016,12,"Monday",14,"NAZING CT"
"6322","Violations","VAL - OPERATING AFTER REV/SUSP.","B2","2016-12-29",2016,12,"Thursday",10,"WARREN ST"
"6323","Warrant Arrests","WARRANT ARREST","B2","2016-12-29",2016,12,"Thursday",10,"WARREN ST"
"6324","Warrant Arrests","WARRANT ARREST","C6","2016-12-29",2016,12,"Thursday",9,"BRADSTON ST"
"6325","Auto Theft","AUTO THEFT","B3","2016-12-29",2016,12,"Thursday",9,"HIAWATHA RD"
"6326","Investigate Property","INVESTIGATE PROPERTY","B2","2016-12-29",2016,12,"Thursday",10,"WARREN ST"
"6327","Medical Assistance","DEATH INVESTIGATION","A15","2016-12-29",2016,12,"Thursday",10,"VINE ST"
"6328","Fire Related Reports","FIRE REPORT - CAR, BRUSH, ETC.","B2","2016-12-29",2016,12,"Thursday",9,"DIMOCK ST"
"6329","Vandalism","VANDALISM","A7","2016-12-25",2016,12,"Sunday",2,"WHITE ST"
"6330","Warrant Arrests","WARRANT ARREST","A1","2016-12-29",2016,12,"Thursday",9,"TREMONT ST"
"6331","Larceny","LARCENY SHOPLIFTING","D4","2016-12-29",2016,12,"Thursday",9,"BOYLSTON ST"
"6332","Investigate Property","INVESTIGATE PROPERTY","E18","2016-12-29",2016,12,"Thursday",9,"AMERICAN LEGION HWY"
"6333","Vandalism","VANDALISM","C11","2016-12-28",2016,12,"Wednesday",16,"FLORIDA ST"
"6334","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","E18","2016-12-28",2016,12,"Wednesday",20,"MERCER ST"
"6335","Vandalism","VANDALISM","B3","2016-12-28",2016,12,"Wednesday",21,"IRMA ST"
"6336","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B3","2016-12-29",2016,12,"Thursday",9,"WILBERT RD"
"6337","Simple Assault","ASSAULT SIMPLE - BATTERY","D4","2016-12-28",2016,12,"Wednesday",8,"HARRISON AVE"
"6338","Larceny","LARCENY THEFT FROM BUILDING","A1","2016-12-17",2016,12,"Saturday",14,"CAMBRIDGE ST"
"6339","Towed","TOWED MOTOR VEHICLE","D14","2016-12-29",2016,12,"Thursday",8,"STRATHMORE RD"
"6340","Vandalism","VANDALISM","B2","2016-12-29",2016,12,"Thursday",8,"FENWOOD RD"
"6341","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A1","2016-12-29",2016,12,"Thursday",7,"GARDEN COURT ST"
"6342","License Plate Related Incidents","M/V PLATES - LOST","C6","2016-12-29",2016,12,"Thursday",8,"DORCHESTER AVE"
"6343","Property Lost","PROPERTY - LOST","C11","2016-10-15",2016,10,"Saturday",14,"MORSE ST"
"6344","Vandalism","VANDALISM","D4","2016-12-29",2016,12,"Thursday",8,"HUNTINGTON AVE"
"6345","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2016-12-29",2016,12,"Thursday",8,"CRAWFORD ST"
"6346","Investigate Person","INVESTIGATE PERSON","E18","2016-12-26",2016,12,"Monday",18,"BRAEBURN RD"
"6347","Vandalism","VANDALISM","B2","2016-12-28",2016,12,"Wednesday",15,"NAZING ST"
"6348","Towed","TOWED MOTOR VEHICLE","C6","2016-12-29",2016,12,"Thursday",8,"O ST"
"6349","Verbal Disputes","VERBAL DISPUTE","E5","2016-12-29",2016,12,"Thursday",7,"METROPOLITAN AVE"
"6350","Larceny","LARCENY THEFT FROM BUILDING","D14","2016-12-28",2016,12,"Wednesday",20,"RAYMOND ST"
"6351","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","B3","2016-12-29",2016,12,"Thursday",6,"MCLELLAN ST"
"6352","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B2","2016-12-29",2016,12,"Thursday",6,"BROOKLEDGE ST"
"6353","Vandalism","VANDALISM","B2","2016-12-29",2016,12,"Thursday",6,"BROOKLEDGE ST"
"6354","Vandalism","VANDALISM","B3","2016-12-29",2016,12,"Thursday",6,"VERRILL ST"
"6355","Vandalism","VANDALISM","B3","2016-12-29",2016,12,"Thursday",6,"MICHIGAN AVE"
"6356","Investigate Person","INVESTIGATE PERSON","E5","2016-12-29",2016,12,"Thursday",6,"METROPOLITAN AVE"
"6357","Verbal Disputes","VERBAL DISPUTE","A15","2016-12-29",2016,12,"Thursday",5,"WALFORD WAY"
"6358","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B2","2016-12-29",2016,12,"Thursday",5,"DENNIS ST"
"6359","Vandalism","VANDALISM","B3","2016-12-29",2016,12,"Thursday",3,"BLUE HILL AVE"
"6360","Investigate Property","INVESTIGATE PROPERTY","B3","2016-12-29",2016,12,"Thursday",0,"W SELDEN ST"
"6361","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","C6","2016-12-29",2016,12,"Thursday",2,"E BROADWAY"
"6362","Missing Person Reported","MISSING PERSON","A7","2016-12-29",2016,12,"Thursday",1,"WALDEMAR AVE"
"6363","Missing Person Located","MISSING PERSON - LOCATED","A7","2016-12-29",2016,12,"Thursday",1,"WALDEMAR AVE"
"6364","Simple Assault","ASSAULT SIMPLE - BATTERY","B2","2016-12-29",2016,12,"Thursday",1,"GREENVILLE ST"
"6365","Larceny","LARCENY ALL OTHERS","D4","2016-12-28",2016,12,"Wednesday",22,"ARLINGTON ST"
"6366","Verbal Disputes","VERBAL DISPUTE","B3","2016-12-29",2016,12,"Thursday",0,"GALLIVAN BLVD"
"6367","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E18","2016-12-29",2016,12,"Thursday",0,"LITTLEDALE ST"
"6368","Drug Violation","DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP","A1","2016-12-29",2016,12,"Thursday",0,"OXFORD ST"
"6369","Violations","VAL - OPERATING WITHOUT LICENSE","D4","2016-12-29",2016,12,"Thursday",0,"TREMONT ST"
"6370","Towed","TOWED MOTOR VEHICLE","A15","2016-12-29",2016,12,"Thursday",0,"ESSEX ST"
"6371","Operating Under the Influence","OPERATING UNDER THE INFLUENCE ALCOHOL","A7","2016-12-28",2016,12,"Wednesday",23,"SUMNER ST"
"6372","Verbal Disputes","VERBAL DISPUTE","B3","2016-12-29",2016,12,"Thursday",0,"WESTVIEW ST"
"6373","Towed","TOWED MOTOR VEHICLE","D14","2016-12-29",2016,12,"Thursday",0,"COMMONWEALTH AVE"
"6374","Medical Assistance","SUICIDE / SUICIDE ATTEMPT","D14","2016-12-29",2016,12,"Thursday",0,"COMMONWEALTH AVE"
"6375","Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","B2","2016-12-29",2016,12,"Thursday",0,"WINTHROP ST"
"6376","Other","THREATS TO DO BODILY HARM","E5","2016-12-28",2016,12,"Wednesday",19,"CONISTON RD"
"6377","Police Service Incidents","SERVICE TO OTHER PD INSIDE OF MA.","D4","2016-12-28",2016,12,"Wednesday",23,"MASSACHUSETTS AVE"
"6378","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","C11","2016-12-28",2016,12,"Wednesday",22,"HOMES AVE"
"6379","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","D4","2016-12-28",2016,12,"Wednesday",22,"HAMMOND ST"
"6380","Recovered Stolen Property","STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING","D4","2016-12-28",2016,12,"Wednesday",22,"HAMMOND ST"
"6381","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4","2016-12-28",2016,12,"Wednesday",19,"MASSACHUSETTS AVE"
"6382","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","E18","2016-12-28",2016,12,"Wednesday",22,"RIVER ST"
"6383","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B3","2016-12-28",2016,12,"Wednesday",22,"WOODROW AVE"
"6384","Investigate Person","INVESTIGATE PERSON","E18","2016-12-28",2016,12,"Wednesday",21,"HYDE PARK AVE"
"6385","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","D4","2016-12-28",2016,12,"Wednesday",21,"MASSACHUSETTS AVE"
"6386","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A1","2016-12-28",2016,12,"Wednesday",21,"LINCOLN ST"
"6387","Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","C11","2016-12-28",2016,12,"Wednesday",21,"DRAPER ST"
"6388","Investigate Property","INVESTIGATE PROPERTY","B3","2016-12-28",2016,12,"Wednesday",21,"NORFOLK ST"
"6389","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11","2016-12-28",2016,12,"Wednesday",20,"BELFORT ST"
"6390","Missing Person Located","MISSING PERSON - LOCATED","B3","2016-12-28",2016,12,"Wednesday",11,"ALGONQUIN ST"
"6391","Missing Person Reported","MISSING PERSON","B3","2016-12-28",2016,12,"Wednesday",11,"ALGONQUIN ST"
"6392","Verbal Disputes","VERBAL DISPUTE","C11","2016-12-28",2016,12,"Wednesday",21,"ADAMS ST"
"6393","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","A7","2016-12-28",2016,12,"Wednesday",20,"CHELSEA ST"
"6394","Investigate Person","INVESTIGATE PERSON","C6","2016-12-28",2016,12,"Wednesday",19,"HARBOR POINT BLVD"
"6395","Investigate Person","INVESTIGATE PERSON","B3","2016-12-28",2016,12,"Wednesday",19,"ALMONT ST"
"6396","Investigate Person","INVESTIGATE PERSON","B3","2016-12-28",2016,12,"Wednesday",20,"NORFOLK ST"
"6397","Investigate Person","INVESTIGATE PERSON","C11","2016-12-28",2016,12,"Wednesday",17,"E COTTAGE ST"
"6398","Verbal Disputes","VERBAL DISPUTE","D4","2016-12-28",2016,12,"Wednesday",19,"BEACON ST"
"6399","Investigate Person","INVESTIGATE PERSON","C11","2016-12-28",2016,12,"Wednesday",20,"HANCOCK ST"
"6400","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A1","2016-12-28",2016,12,"Wednesday",19,"KINGSTON ST"
"6401","Investigate Person","INVESTIGATE PERSON","C11","2016-12-28",2016,12,"Wednesday",20,"LEROY ST"
"6402","Investigate Person","INVESTIGATE PERSON","D4","2016-12-28",2016,12,"Wednesday",19,"NEWBURY ST"
"6403","Investigate Property","INVESTIGATE PROPERTY","D4","2016-12-28",2016,12,"Wednesday",18,"EXETER ST"
"6404","Larceny","LARCENY SHOPLIFTING","D14","2016-12-28",2016,12,"Wednesday",19,"WESTERN AVE"
"6405","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C6","2016-12-28",2016,12,"Wednesday",18,"MASSACHUSETTS AVE"
"6406","Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","D14","2016-12-28",2016,12,"Wednesday",10,"LINDEN ST"
"6407","Larceny","LARCENY THEFT FROM BUILDING","D14","2016-12-28",2016,12,"Wednesday",10,"LINDEN ST"
"6408","Warrant Arrests","WARRANT ARREST","A7","2016-12-28",2016,12,"Wednesday",18,"VALLAR RD"
"6409","Other","VAL - VIOLATION OF AUTO LAW - OTHER","E18","2016-12-28",2016,12,"Wednesday",17,"AMERICAN LEGION HWY"
"6410","Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","E18","2016-12-28",2016,12,"Wednesday",17,"AMERICAN LEGION HWY"
"6411","Violations","VAL - OPERATING AFTER REV/SUSP.","E18","2016-12-28",2016,12,"Wednesday",17,"AMERICAN LEGION HWY"
"6412","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","E18","2016-12-28",2016,12,"Wednesday",17,"AMERICAN LEGION HWY"
"6413","Investigate Property","INVESTIGATE PROPERTY","E13","2016-12-28",2016,12,"Wednesday",18,"GREENVIEW AVE"
"6414","Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","E5","2016-12-28",2016,12,"Wednesday",18,"WASHINGTON ST"
"6415","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","E5","2016-12-28",2016,12,"Wednesday",18,"INDEPENDENCE DR"
"6416","Simple Assault","ASSAULT SIMPLE - BATTERY","E18","2016-12-28",2016,12,"Wednesday",17,"AUSTIN ST"
"6417","Vandalism","VANDALISM","C11","2016-12-28",2016,12,"Wednesday",17,"EAST ST"
"6418","Vandalism","VANDALISM","A7","2016-12-28",2016,12,"Wednesday",17,"FALCON ST"
"6419","Motor Vehicle Accident Response","M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY","D4","2016-12-28",2016,12,"Wednesday",17,"GARRISON ST"
"6420","Simple Assault","ASSAULT SIMPLE - BATTERY","B2","2016-12-28",2016,12,"Wednesday",17,"MCGREEVEY WAY"
"6421","Warrant Arrests","WARRANT ARREST","A1","2016-12-28",2016,12,"Wednesday",17,"WASHINGTON ST"
"6422","Larceny","LARCENY SHOPLIFTING","A1","2016-12-28",2016,12,"Wednesday",17,"WASHINGTON ST"
"6423","Other","THREATS TO DO BODILY HARM","A1","2016-12-28",2016,12,"Wednesday",17,"WASHINGTON ST"
"6424","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","B2","2016-12-28",2016,12,"Wednesday",16,"HARRISON AVE"
"6425","Investigate Person","INVESTIGATE PERSON","B3","2016-12-28",2016,12,"Wednesday",17,"BLUE HILL AVE"
"6426","Larceny","LARCENY THEFT FROM BUILDING","D4","2016-12-28",2016,12,"Wednesday",13,"EDGERLY PL"
"6427","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2016-12-28",2016,12,"Wednesday",17,"DUDLEY ST"
"6428","Fraud","FRAUD - IMPERSONATION","E13","2016-09-27",2016,9,"Tuesday",17,"LESTER PL"
"6429","Motor Vehicle Accident Response","M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY","D4","2016-12-28",2016,12,"Wednesday",16,"MASSACHUSETTS AVE"
"6430","Motor Vehicle Accident Response","M/V ACCIDENT - POLICE VEHICLE","B2","2016-12-28",2016,12,"Wednesday",17,"COLUMBUS AVE"
"6431","Larceny","LARCENY THEFT FROM BUILDING","D4","2016-12-24",2016,12,"Saturday",13,"COLUMBUS AVE"
"6432","Vandalism","VANDALISM","E5","2016-12-12",2016,12,"Monday",10,"VFW PKWY"
"6433","Investigate Person","INVESTIGATE PERSON","A1","2016-12-28",2016,12,"Wednesday",17,"ESSEX ST"
"6434","Warrant Arrests","WARRANT ARREST","A1","2016-12-28",2016,12,"Wednesday",17,"ESSEX ST"
"6435","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2016-12-28",2016,12,"Wednesday",16,"JEWISH WAR VETERANS DR"
"6436","Vandalism","VANDALISM","B2","2016-12-27",2016,12,"Tuesday",19,"HOWARD AVE"
"6437","Counterfeiting","FORGERY / COUNTERFEITING","D4","2016-12-07",2016,12,"Wednesday",17,"BOYLSTON ST"
"6438","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","D4","2016-12-28",2016,12,"Wednesday",17,"W SPRINGFIELD ST"
